epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.305,1.84933,2.45471,1.80235,0.50538,0.22972,0.27665,0.09931,2.1211,2.90769,2.27824,0.000329966,0.000329966,0.0673333
2,181.546,1.73053,1.88077,1.71097,0.48045,0.36755,0.37777,0.15083,2.01204,2.63255,1.96755,0.000663228,0.000663228,0.0343333
3,251.933,1.71123,1.79525,1.68729,0.51132,0.42588,0.43221,0.18177,1.9655,2.42151,1.95362,0.0009962,0.0009962,0.0013329
4,323.058,1.67698,1.74126,1.69264,0.53585,0.46662,0.47119,0.18936,2.06696,2.20638,1.99241,0.000999023,0.000999023,0.000999023
5,395.773,1.67829,1.72478,1.69013,0.61343,0.53086,0.56374,0.24362,2.00228,1.78105,1.87241,0.000998264,0.000998264,0.000998264
6,469.86,1.6353,1.62518,1.61998,0.61269,0.5341,0.56684,0.25014,1.9206,1.76747,1.81887,0.000997288,0.000997288,0.000997288
7,545.164,1.62473,1.5972,1.60347,0.52151,0.49057,0.50284,0.21768,1.92417,2.21028,1.85183,0.000996097,0.000996097,0.000996097
8,616.583,1.61296,1.57271,1.60811,0.64373,0.53984,0.57756,0.25429,1.91505,1.75941,1.81853,0.00099469,0.00099469,0.00099469
9,687.032,1.58893,1.56373,1.58961,0.68547,0.52046,0.60063,0.24723,2.07582,1.73014,1.91584,0.000993068,0.000993068,0.000993068
10,758.881,1.59676,1.53796,1.59966,0.64942,0.53338,0.58529,0.25249,1.94492,1.69188,1.82258,0.000991232,0.000991232,0.000991232
11,830.12,1.56276,1.47133,1.56457,0.6924,0.58657,0.65368,0.25553,2.02352,1.60731,1.84298,0.000989183,0.000989183,0.000989183
12,902.843,1.53005,1.45249,1.56116,0.61213,0.55276,0.5912,0.29668,1.74988,1.61592,1.69734,0.000986922,0.000986922,0.000986922
13,977.303,1.5523,1.49411,1.57589,0.65068,0.58702,0.62148,0.32234,1.64251,1.53387,1.64511,0.000984449,0.000984449,0.000984449
14,1049.31,1.52631,1.44224,1.57112,0.65751,0.61327,0.66432,0.36318,1.5739,1.39436,1.60684,0.000981765,0.000981765,0.000981765
15,1121.96,1.5202,1.45182,1.54803,0.69291,0.56692,0.64116,0.35749,1.60395,1.52782,1.60293,0.000978873,0.000978873,0.000978873
16,1193.56,1.49096,1.40173,1.52739,0.68657,0.59081,0.65888,0.36704,1.59753,1.46884,1.59755,0.000975773,0.000975773,0.000975773
