epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,138.819,1.84227,5.18086,0.01523,0.0053,0.44939,0.01374,0.00407,1.55094,5.00813,0.01872,0.000989899,0.000329966,0.000989899,0.000329966,0.0679933,0.0673333,0.000989899,0.000329966
2,235.296,1.59872,3.74049,0.01245,0.25885,0.15434,0.11413,0.05245,1.64728,4.03347,0.0182,0.00198968,0.000663228,0.00198968,0.000663228,0.0356597,0.0343333,0.00198968,0.000663228
3,328.926,1.56857,3.07142,0.01147,0.38204,0.34386,0.29471,0.14175,1.64991,3.24871,0.01793,0.0029886,0.0009962,0.0029886,0.0009962,0.0033253,0.0013329,0.0029886,0.0009962
4,420.694,1.53546,2.64309,0.0117,0.54697,0.42816,0.46802,0.22597,1.72058,2.67539,0.01803,0.00299707,0.000999023,0.00299707,0.000999023,0.00299707,0.000999023,0.00299707,0.000999023
5,511.756,1.5247,2.38133,0.01146,0.56507,0.51543,0.53613,0.2673,1.64608,2.34071,0.01756,0.00299479,0.000998264,0.00299479,0.000998264,0.00299479,0.000998264,0.00299479,0.000998264
6,603.095,1.51442,2.14835,0.01054,0.59944,0.50923,0.55629,0.27632,1.65161,2.2143,0.01727,0.00299187,0.000997288,0.00299187,0.000997288,0.00299187,0.000997288,0.00299187,0.000997288
7,694.678,1.53568,2.06808,0.01037,0.60405,0.56066,0.57906,0.30576,1.59364,2.03089,0.01713,0.00298829,0.000996097,0.00298829,0.000996097,0.00298829,0.000996097,0.00298829,0.000996097
8,786.648,1.52617,1.97916,0.01092,0.63413,0.53984,0.59519,0.3009,1.65101,1.96975,0.01752,0.00298407,0.00099469,0.00298407,0.00099469,0.00298407,0.00099469,0.00298407,0.00099469
9,877.869,1.50808,1.9054,0.01087,0.62883,0.55205,0.61081,0.3026,1.71053,1.83667,0.01813,0.0029792,0.000993068,0.0029792,0.000993068,0.0029792,0.000993068,0.0029792,0.000993068
10,968.927,1.50803,1.85018,0.01068,0.64438,0.5664,0.62309,0.32,1.64907,1.79184,0.01719,0.0029737,0.000991232,0.0029737,0.000991232,0.0029737,0.000991232,0.0029737,0.000991232
11,1060.39,1.5022,1.76999,0.0104,0.63213,0.54774,0.61153,0.29505,1.80054,1.78776,0.01881,0.00296755,0.000989183,0.00296755,0.000989183,0.00296755,0.000989183,0.00296755,0.000989183
12,1152.71,1.49931,1.73597,0.01072,0.6438,0.60854,0.64688,0.33953,1.65693,1.65762,0.01737,0.00296076,0.000986922,0.00296076,0.000986922,0.00296076,0.000986922,0.00296076,0.000986922
13,1244.46,1.50023,1.76575,0.011,0.65699,0.56712,0.63541,0.33479,1.66526,1.64927,0.01767,0.00295335,0.000984449,0.00295335,0.000984449,0.00295335,0.000984449,0.00295335,0.000984449
14,1335.5,1.46166,1.65649,0.0109,0.64501,0.58507,0.64828,0.34298,1.65307,1.60354,0.01743,0.0029453,0.000981765,0.0029453,0.000981765,0.0029453,0.000981765,0.0029453,0.000981765
15,1427.78,1.5,1.67607,0.0105,0.65243,0.60589,0.65759,0.3279,1.71759,1.60155,0.01725,0.00293662,0.000978873,0.00293662,0.000978873,0.00293662,0.000978873,0.00293662,0.000978873
16,1519.33,1.46286,1.6157,0.01017,0.68008,0.5921,0.66194,0.35774,1.60237,1.54071,0.01631,0.00292732,0.000975773,0.00292732,0.000975773,0.00292732,0.000975773,0.00292732,0.000975773
17,1610.75,1.44867,1.57063,0.00998,0.68242,0.62455,0.68208,0.38956,1.51417,1.47298,0.01553,0.0029174,0.000972466,0.0029174,0.000972466,0.0029174,0.000972466,0.0029174,0.000972466
18,1702.22,1.44451,1.54282,0.01001,0.6825,0.64322,0.69301,0.39087,1.55067,1.42482,0.01617,0.00290686,0.000968955,0.00290686,0.000968955,0.00290686,0.000968955,0.00290686,0.000968955
19,1793.96,1.4251,1.53641,0.01005,0.71324,0.64393,0.71647,0.39011,1.60348,1.39531,0.01641,0.00289572,0.000965239,0.00289572,0.000965239,0.00289572,0.000965239,0.00289572,0.000965239
20,1886.03,1.43353,1.50578,0.00999,0.68257,0.63907,0.70862,0.42024,1.46409,1.35145,0.01553,0.00288397,0.000961322,0.00288397,0.000961322,0.00288397,0.000961322,0.00288397,0.000961322
21,1978.05,1.41668,1.44187,0.00949,0.70775,0.63604,0.70796,0.42323,1.43141,1.36037,0.01447,0.00287162,0.000957205,0.00287162,0.000957205,0.00287162,0.000957205,0.00287162,0.000957205
22,2069.31,1.41507,1.4647,0.00971,0.71756,0.64322,0.71527,0.4088,1.53502,1.35941,0.0156,0.00285867,0.000952889,0.00285867,0.000952889,0.00285867,0.000952889,0.00285867,0.000952889
23,2162.08,1.40265,1.44047,0.00959,0.72055,0.64601,0.72658,0.42138,1.49145,1.32403,0.01502,0.00284513,0.000948377,0.00284513,0.000948377,0.00284513,0.000948377,0.00284513,0.000948377
24,2253.84,1.41919,1.44701,0.0105,0.742,0.64003,0.73251,0.43887,1.46477,1.27751,0.01473,0.00283101,0.000943671,0.00283101,0.000943671,0.00283101,0.000943671,0.00283101,0.000943671
25,2345.86,1.39428,1.42754,0.0101,0.74006,0.63101,0.71546,0.4456,1.40498,1.29337,0.01426,0.00281632,0.000938772,0.00281632,0.000938772,0.00281632,0.000938772,0.00281632,0.000938772
26,2436.68,1.40422,1.40958,0.00995,0.71194,0.6263,0.71633,0.43341,1.44084,1.30445,0.01464,0.00280105,0.000933683,0.00280105,0.000933683,0.00280105,0.000933683,0.00280105,0.000933683
27,2528.31,1.40313,1.38515,0.01021,0.72154,0.64361,0.71949,0.41663,1.5121,1.31166,0.01493,0.00278522,0.000928405,0.00278522,0.000928405,0.00278522,0.000928405,0.00278522,0.000928405
28,2620.21,1.39157,1.36238,0.00992,0.7707,0.60158,0.72131,0.43623,1.44787,1.27992,0.0149,0.00276883,0.000922942,0.00276883,0.000922942,0.00276883,0.000922942,0.00276883,0.000922942
29,2712.43,1.38325,1.38731,0.00976,0.74941,0.63029,0.72106,0.43039,1.4832,1.25999,0.01484,0.00275189,0.000917296,0.00275189,0.000917296,0.00275189,0.000917296,0.00275189,0.000917296
30,2803.7,1.38395,1.34829,0.00956,0.72927,0.65757,0.74524,0.46466,1.37759,1.22617,0.01404,0.00273441,0.000911469,0.00273441,0.000911469,0.00273441,0.000911469,0.00273441,0.000911469
31,2894.65,1.37264,1.32272,0.00982,0.72486,0.65039,0.73131,0.44041,1.47863,1.24707,0.01509,0.00271639,0.000905463,0.00271639,0.000905463,0.00271639,0.000905463,0.00271639,0.000905463
32,2986.25,1.38802,1.34653,0.00946,0.74669,0.65177,0.7346,0.44956,1.42496,1.2548,0.01442,0.00269785,0.000899282,0.00269785,0.000899282,0.00269785,0.000899282,0.00269785,0.000899282
33,3078.01,1.36849,1.30894,0.0097,0.73571,0.64322,0.73082,0.4562,1.39734,1.25124,0.01424,0.00267878,0.000892928,0.00267878,0.000892928,0.00267878,0.000892928,0.00267878,0.000892928
