epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.3045,1.83181,2.43026,1.80116,0.3441,0.11845,0.11886,0.03942,2.20836,3.39323,2.37264,0.000329966,0.000329966,0.0673333
2,148.32,1.70263,1.85916,1.69918,0.4572,0.32954,0.34751,0.13404,2.06859,2.51443,2.03144,0.000663228,0.000663228,0.0343333
3,219.501,1.68717,1.80931,1.67353,0.52,0.52836,0.5216,0.22094,1.94732,2.23157,1.87805,0.0009962,0.0009962,0.0013329
4,290.518,1.66125,1.76761,1.69007,0.56082,0.46662,0.49137,0.21585,1.97568,2.3202,1.92393,0.000999023,0.000999023,0.000999023
5,360.726,1.64953,1.72413,1.67578,0.60792,0.46016,0.51308,0.21407,2.07582,1.85365,1.92422,0.000998264,0.000998264,0.000998264
6,430.972,1.62812,1.63515,1.6276,0.55033,0.47882,0.48848,0.2139,2.02198,2.12907,2.00527,0.000997288,0.000997288,0.000997288
7,500.356,1.62188,1.6151,1.60539,0.51864,0.47523,0.49289,0.20952,1.92442,1.89024,1.83608,0.000996097,0.000996097,0.000996097
8,570.364,1.61221,1.58818,1.622,0.59745,0.53051,0.56322,0.237,1.94979,1.89432,1.84343,0.00099469,0.00099469,0.00099469
9,641.838,1.59103,1.57662,1.60081,0.53266,0.49666,0.49406,0.2395,1.81923,3.3272,1.7797,0.000993068,0.000993068,0.000993068
10,711.535,1.60636,1.56838,1.61975,0.65314,0.50826,0.57016,0.23873,1.91809,1.85494,1.83045,0.000991232,0.000991232,0.000991232
11,782.642,1.56648,1.52849,1.57575,0.65995,0.54343,0.6144,0.24169,2.06324,1.68666,1.84496,0.000989183,0.000989183,0.000989183
12,853.058,1.55633,1.49622,1.58565,0.67068,0.54846,0.61611,0.27037,1.9746,1.56268,1.8268,0.000986922,0.000986922,0.000986922
13,924.906,1.5677,1.5381,1.59263,0.63738,0.5615,0.62356,0.27796,1.90038,1.66782,1.82598,0.000984449,0.000984449,0.000984449
14,995.799,1.52945,1.46624,1.57437,0.66344,0.58018,0.64235,0.3041,1.83533,1.54793,1.73864,0.000981765,0.000981765,0.000981765
15,1068.2,1.53959,1.47146,1.55821,0.67125,0.56856,0.64191,0.28956,1.9204,1.57209,1.79746,0.000978873,0.000978873,0.000978873
16,1138.47,1.51645,1.43145,1.54305,0.68978,0.59727,0.66561,0.31805,1.8076,1.57055,1.72209,0.000975773,0.000975773,0.000975773
17,1210.33,1.5069,1.42576,1.53828,0.71492,0.56497,0.65648,0.3331,1.75274,1.50854,1.70267,0.000972466,0.000972466,0.000972466
18,1281,1.4996,1.39018,1.52763,0.63789,0.58507,0.62207,0.24091,2.09045,1.89644,1.91861,0.000968955,0.000968955,0.000968955
19,1352.08,1.50745,1.42136,1.54927,0.68632,0.6066,0.66914,0.31609,1.80895,1.4764,1.67458,0.000965239,0.000965239,0.000965239
20,1425.27,1.50006,1.38009,1.52626,0.70008,0.63005,0.70829,0.36131,1.72026,1.46093,1.66539,0.000961322,0.000961322,0.000961322
21,1497.1,1.47724,1.33613,1.50133,0.72259,0.61594,0.69704,0.365,1.65953,1.38777,1.62118,0.000957205,0.000957205,0.000957205
22,1567.98,1.47647,1.34789,1.51704,0.72153,0.61881,0.70129,0.31195,1.92673,1.52694,1.76451,0.000952889,0.000952889,0.000952889
23,1640.78,1.45889,1.33555,1.49542,0.64611,0.54393,0.60945,0.27548,1.9064,1.67508,1.80494,0.000948377,0.000948377,0.000948377
24,1712.32,1.4936,1.37247,1.55112,0.71766,0.61309,0.70276,0.36252,1.67915,1.41333,1.68174,0.000943671,0.000943671,0.000943671
25,1783.6,1.4672,1.33239,1.5155,0.72368,0.6224,0.70425,0.36,1.71783,1.39441,1.65429,0.000938772,0.000938772,0.000938772
26,1854.42,1.46344,1.32387,1.51204,0.69708,0.64262,0.70968,0.36867,1.68362,1.4008,1.63066,0.000933683,0.000933683,0.000933683
27,1927.4,1.46851,1.31919,1.52033,0.68548,0.56999,0.64017,0.32217,1.7371,1.49308,1.69145,0.000928405,0.000928405,0.000928405
28,1996.54,1.4538,1.3095,1.51228,0.70765,0.60818,0.68758,0.30311,1.94,1.42669,1.81539,0.000922942,0.000922942,0.000922942
29,2067.31,1.43731,1.28591,1.49791,0.7102,0.62103,0.71324,0.3531,1.75852,1.33833,1.66867,0.000917296,0.000917296,0.000917296
30,2137.75,1.43414,1.29237,1.4903,0.7074,0.6267,0.69907,0.37924,1.57718,1.4588,1.58564,0.000911469,0.000911469,0.000911469
31,2207.77,1.44341,1.2799,1.50346,0.75325,0.59608,0.71223,0.35852,1.72458,1.36898,1.64598,0.000905463,0.000905463,0.000905463
32,2278.84,1.43852,1.28892,1.48761,0.72466,0.61881,0.69661,0.3244,1.86281,1.38828,1.73321,0.000899282,0.000899282,0.000899282
33,2351.1,1.412,1.24851,1.48726,0.69682,0.65039,0.7226,0.36664,1.70466,1.30557,1.64048,0.000892928,0.000892928,0.000892928
34,2420.28,1.41128,1.25076,1.47265,0.70666,0.68772,0.7352,0.39137,1.60355,1.32506,1.56944,0.000886404,0.000886404,0.000886404
35,2492.01,1.43041,1.25177,1.48497,0.75241,0.64357,0.72738,0.4014,1.60874,1.26331,1.60388,0.000879713,0.000879713,0.000879713
36,2562.88,1.41061,1.22747,1.46084,0.75834,0.65556,0.74191,0.34777,1.78418,1.27414,1.68071,0.000872857,0.000872857,0.000872857
37,2634.91,1.4144,1.22563,1.47451,0.76022,0.66233,0.73975,0.3736,1.67741,1.29235,1.62022,0.000865839,0.000865839,0.000865839
38,2705.13,1.39854,1.23005,1.45325,0.7451,0.65261,0.72775,0.37412,1.68067,1.29308,1.61989,0.000858664,0.000858664,0.000858664
39,2777.32,1.40224,1.23231,1.47707,0.7199,0.67983,0.73087,0.37056,1.71694,1.28244,1.66181,0.000851333,0.000851333,0.000851333
40,2848.44,1.41767,1.24427,1.48043,0.72952,0.67572,0.73912,0.40096,1.60673,1.2683,1.56174,0.000843851,0.000843851,0.000843851
41,2918.91,1.40556,1.21524,1.45497,0.72951,0.65255,0.74462,0.4037,1.59414,1.22703,1.5651,0.00083622,0.00083622,0.00083622
42,2993.55,1.39282,1.20197,1.46023,0.73525,0.62527,0.71062,0.37412,1.65112,1.28583,1.6025,0.000828443,0.000828443,0.000828443
43,3066.98,1.4071,1.22484,1.47499,0.73893,0.67193,0.74903,0.39254,1.64667,1.28427,1.58849,0.000820525,0.000820525,0.000820525
44,3137.96,1.37938,1.20066,1.45102,0.72972,0.63173,0.71613,0.34373,1.78888,1.32626,1.71884,0.000812468,0.000812468,0.000812468
45,3207.12,1.38378,1.19427,1.46109,0.72469,0.66978,0.73691,0.34881,1.81385,1.27391,1.68933,0.000804277,0.000804277,0.000804277
46,3278.19,1.38247,1.17279,1.44922,0.7361,0.68198,0.74619,0.38855,1.65297,1.23281,1.58923,0.000795954,0.000795954,0.000795954
47,3349.27,1.36875,1.20273,1.4592,0.72801,0.67058,0.7446,0.4162,1.53127,1.30832,1.54847,0.000787503,0.000787503,0.000787503
48,3419.85,1.35925,1.14451,1.43131,0.78112,0.63536,0.75068,0.4127,1.56469,1.26039,1.5608,0.000778929,0.000778929,0.000778929
49,3493.18,1.35541,1.15557,1.43527,0.74719,0.6705,0.74753,0.3956,1.6186,1.21637,1.57385,0.000770234,0.000770234,0.000770234
50,3561.91,1.35933,1.15643,1.41057,0.75021,0.66834,0.75863,0.39543,1.67254,1.20344,1.63344,0.000761423,0.000761423,0.000761423
51,3633.42,1.3528,1.15303,1.43331,0.74049,0.67265,0.74567,0.40027,1.61456,1.2065,1.57513,0.0007525,0.0007525,0.0007525
52,3705.08,1.3563,1.14262,1.41646,0.7603,0.66475,0.76087,0.4224,1.55716,1.15912,1.56233,0.000743468,0.000743468,0.000743468
53,3776.2,1.33805,1.13879,1.42388,0.7303,0.70173,0.7598,0.41896,1.53534,1.17431,1.54521,0.000734332,0.000734332,0.000734332
54,3847.46,1.3446,1.14324,1.42695,0.76008,0.66182,0.75746,0.43685,1.49422,1.20042,1.51985,0.000725094,0.000725094,0.000725094
55,3918.89,1.36239,1.14564,1.42073,0.7545,0.65398,0.739,0.38409,1.67117,1.22776,1.6397,0.000715761,0.000715761,0.000715761
56,3989.7,1.34092,1.10043,1.41248,0.74142,0.6827,0.74581,0.38202,1.68743,1.2167,1.59358,0.000706335,0.000706335,0.000706335
57,4061.46,1.33013,1.11102,1.4323,0.77533,0.65154,0.75471,0.40973,1.58316,1.20666,1.5731,0.00069682,0.00069682,0.00069682
58,4132.48,1.32738,1.10114,1.41216,0.75765,0.66691,0.75237,0.42575,1.54582,1.17057,1.54634,0.000687222,0.000687222,0.000687222
59,4203,1.32901,1.08013,1.40496,0.75534,0.66934,0.75833,0.39308,1.70808,1.21017,1.61496,0.000677543,0.000677543,0.000677543
60,4272.72,1.32427,1.07583,1.40824,0.76342,0.6827,0.76448,0.40462,1.58111,1.22673,1.56501,0.000667789,0.000667789,0.000667789
61,4345.69,1.31698,1.07348,1.38834,0.76128,0.67911,0.76871,0.43511,1.52967,1.12859,1.51844,0.000657963,0.000657963,0.000657963
62,4414.89,1.30719,1.07514,1.39875,0.7538,0.67918,0.76437,0.39113,1.68426,1.17802,1.64348,0.000648071,0.000648071,0.000648071
63,4486.73,1.31935,1.06117,1.39741,0.76162,0.6881,0.7714,0.42951,1.52281,1.13589,1.52601,0.000638115,0.000638115,0.000638115
