epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,269.438,2.04413,2.82593,1.93235,0.31113,0.14673,0.12403,0.03879,2.46996,3.7329,2.35762,0.000331471,0.000331471,0.0671844
2,481.657,1.94753,2.27905,1.86355,0.41519,0.31255,0.29787,0.11095,2.20484,3.27683,2.04931,0.000664764,0.000664764,0.0341843
3,694.219,1.9235,2.27125,1.85787,0.46124,0.30407,0.31516,0.1189,2.27256,2.66909,2.12911,0.000997894,0.000997894,0.00118411
4,903.865,1.91961,2.21014,1.85049,0.44175,0.33291,0.32613,0.15015,2.10991,2.6344,2.01273,0.00099945,0.00099945,0.00099945
5,1115.62,1.88929,2.13093,1.79992,0.45194,0.29686,0.28026,0.11908,2.17477,3.03473,2.14005,0.000999023,0.000999023,0.000999023
6,1328.64,1.8953,2.14859,1.81508,0.33193,0.19932,0.16466,0.05905,2.22407,4.04105,2.1809,0.000998474,0.000998474,0.000998474
7,1540.97,1.84929,2.05139,1.76052,0.49488,0.36726,0.37417,0.15546,2.07338,3.25261,1.99502,0.000997803,0.000997803,0.000997803
8,1748.98,1.83008,2.01225,1.75669,0.54278,0.38083,0.38128,0.16866,2.09818,2.73281,2.05616,0.000997011,0.000997011,0.000997011
9,1963.85,1.82475,1.97063,1.75028,0.54724,0.37829,0.40283,0.18296,2.09991,2.54927,1.95579,0.000996097,0.000996097,0.000996097
10,2171.77,1.79086,1.97317,1.73347,0.56772,0.44275,0.48474,0.24199,1.90511,2.23954,1.86528,0.000995062,0.000995062,0.000995062
11,2378.27,1.7727,1.90909,1.71345,0.55627,0.40755,0.42928,0.19013,2.09059,2.36597,2.0258,0.000993906,0.000993906,0.000993906
12,2584.08,1.77585,1.93164,1.71398,0.55206,0.43276,0.44486,0.21968,1.95957,2.23835,1.87449,0.000992629,0.000992629,0.000992629
13,2793.44,1.77076,1.87489,1.70728,0.58278,0.41561,0.46031,0.22339,1.93127,2.11823,1.83089,0.000991232,0.000991232,0.000991232
14,2998.86,1.75573,1.84111,1.69909,0.58899,0.47342,0.51263,0.24432,1.97665,1.97414,1.92756,0.000989715,0.000989715,0.000989715
15,3203.94,1.73468,1.82087,1.68372,0.63086,0.45293,0.49586,0.25239,1.9627,2.24753,1.86611,0.000988079,0.000988079,0.000988079
16,3409.43,1.74392,1.83258,1.67973,0.58853,0.4436,0.48207,0.21892,1.98016,1.9496,1.85258,0.000986323,0.000986323,0.000986323
17,3612.66,1.71696,1.78099,1.65476,0.61737,0.45886,0.51255,0.25958,1.91616,2.01361,1.88202,0.000984449,0.000984449,0.000984449
18,3815.54,1.72553,1.80932,1.67905,0.58089,0.40205,0.44596,0.22602,1.95007,2.25631,1.92707,0.000982456,0.000982456,0.000982456
19,4022.59,1.71567,1.78496,1.66209,0.63756,0.49576,0.55829,0.27998,1.88454,1.85512,1.82079,0.000980345,0.000980345,0.000980345
20,4231.95,1.693,1.72179,1.63573,0.60381,0.47074,0.51493,0.25183,1.91496,1.94531,1.82128,0.000978118,0.000978118,0.000978118
21,4442.14,1.69789,1.75128,1.6565,0.61837,0.44063,0.49093,0.25917,1.88623,2.16236,1.84687,0.000975773,0.000975773,0.000975773
22,4652.04,1.68583,1.71047,1.63519,0.65895,0.50297,0.56691,0.29659,1.81358,1.84846,1.72445,0.000973312,0.000973312,0.000973312
23,4860.42,1.71031,1.75185,1.65275,0.64265,0.51187,0.57093,0.29734,1.78413,1.76935,1.71733,0.000970736,0.000970736,0.000970736
24,5083.58,1.7053,1.73692,1.65486,0.62707,0.48049,0.53592,0.27806,1.8547,1.88132,1.7816,0.000968045,0.000968045,0.000968045
