epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.321,1.58762,1.78768,1.45946,0.58416,0.49139,0.5133,0.27675,1.61114,1.75652,1.51921,0.000332489,0.000332489,0.0670835
2,319.256,1.54847,1.52293,1.42362,0.63271,0.55363,0.59085,0.33449,1.49771,1.55381,1.44191,0.000652639,0.000652639,0.0340704
3,478.552,1.55998,1.4772,1.43158,0.67596,0.55093,0.60834,0.34217,1.55521,1.56648,1.49894,0.00095959,0.00095959,0.00104398
4,638.26,1.5315,1.42729,1.41794,0.65279,0.566,0.61269,0.34999,1.53397,1.5177,1.47349,0.0009406,0.0009406,0.0009406
5,798.419,1.51038,1.4005,1.39818,0.67264,0.57676,0.6477,0.37906,1.48122,1.41399,1.44379,0.0009208,0.0009208,0.0009208
6,957.902,1.45785,1.36151,1.38693,0.69032,0.60043,0.66597,0.38135,1.46815,1.47908,1.4185,0.000901,0.000901,0.000901
7,1117.32,1.44912,1.36123,1.3657,0.68151,0.62984,0.67319,0.40352,1.38855,1.28282,1.35535,0.0008812,0.0008812,0.0008812
8,1276.46,1.41391,1.27402,1.34666,0.73016,0.59202,0.68798,0.41775,1.40385,1.30122,1.36404,0.0008614,0.0008614,0.0008614
9,1437.83,1.41443,1.25342,1.33749,0.72704,0.62626,0.70253,0.42444,1.39352,1.26781,1.36651,0.0008416,0.0008416,0.0008416
10,1597.57,1.38092,1.22667,1.33038,0.73866,0.6198,0.72519,0.43353,1.40069,1.23207,1.38915,0.0008218,0.0008218,0.0008218
11,1758.03,1.38285,1.19519,1.31533,0.73568,0.66141,0.72509,0.45026,1.33786,1.21211,1.31047,0.000802,0.000802,0.000802
12,1918.23,1.36253,1.17505,1.30404,0.75664,0.6363,0.72812,0.4461,1.35637,1.17991,1.34512,0.0007822,0.0007822,0.0007822
13,2077.59,1.37161,1.17789,1.32028,0.69791,0.65782,0.72107,0.43786,1.3837,1.18903,1.3417,0.0007624,0.0007624,0.0007624
14,2237.78,1.32239,1.16024,1.29831,0.69387,0.65363,0.7213,0.44013,1.33664,1.17807,1.31822,0.0007426,0.0007426,0.0007426
15,2397.67,1.3291,1.14754,1.28766,0.75401,0.62889,0.7049,0.42496,1.32742,1.22753,1.2917,0.0007228,0.0007228,0.0007228
16,2558.12,1.30776,1.11912,1.29087,0.73063,0.65765,0.74213,0.46256,1.32555,1.15416,1.30485,0.000703,0.000703,0.000703
17,2717.39,1.30585,1.08904,1.27109,0.7418,0.68938,0.75349,0.47109,1.31741,1.10756,1.29568,0.0006832,0.0006832,0.0006832
