epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,363.539,2.35494,2.81553,1.83222,0.35979,0.19965,0.20217,0.07834,2.31902,2.55379,1.95119,0.000332963,0.000332963,0.0670367
2,724.281,2.2933,2.45611,1.80762,0.30891,0.25151,0.18403,0.06874,2.20438,2.61333,1.85687,0.000653103,0.000653103,0.0340235
3,1083.95,2.27942,2.42377,1.83678,0.37227,0.30856,0.26854,0.10171,2.19138,2.41687,1.83724,0.000960044,0.000960044,0.000997122
4,1441.72,2.22898,2.32432,1.76737,0.41922,0.31443,0.30202,0.11546,2.18124,2.27411,1.83476,0.0009406,0.0009406,0.0009406
5,1799.58,2.18173,2.25638,1.71002,0.36766,0.3535,0.29258,0.1185,2.08645,2.23744,1.84154,0.0009208,0.0009208,0.0009208
6,2159.44,2.1469,2.22827,1.71967,0.47318,0.35004,0.33025,0.13537,2.0826,2.12478,1.7572,0.000901,0.000901,0.000901
7,2518.05,2.12367,2.16943,1.68845,0.37022,0.38807,0.26572,0.10348,2.09229,2.18332,1.72121,0.0008812,0.0008812,0.0008812
8,2873.6,2.11235,2.10686,1.68374,0.49245,0.38202,0.3602,0.14313,2.08949,2.04939,1.79245,0.0008614,0.0008614,0.0008614
9,3231.14,2.09012,2.0846,1.66469,0.33082,0.38548,0.22801,0.08718,2.0852,2.33706,1.76872,0.0008416,0.0008416,0.0008416
10,3587,2.07167,2.09009,1.65125,0.47351,0.38011,0.37514,0.15537,2.0928,2.0514,1.7814,0.0008218,0.0008218,0.0008218
11,3948.89,2.07082,2.04412,1.64377,0.41811,0.39844,0.30749,0.12185,2.05387,2.06694,1.75915,0.000802,0.000802,0.000802
12,4305.74,2.05028,1.98079,1.63478,0.45628,0.41314,0.37502,0.15072,2.02713,2.01272,1.70539,0.0007822,0.0007822,0.0007822
13,4662.09,2.02719,1.98874,1.61884,0.46977,0.40017,0.37293,0.15465,1.99932,1.99868,1.68421,0.0007624,0.0007624,0.0007624
14,5015.89,2.01481,1.93556,1.62213,0.44678,0.42697,0.33651,0.1392,1.98859,1.99846,1.69649,0.0007426,0.0007426,0.0007426
15,5369.48,1.99751,1.92734,1.6008,0.57393,0.42005,0.45787,0.19985,1.96502,1.88623,1.65464,0.0007228,0.0007228,0.0007228
16,5723.6,1.98762,1.91575,1.58558,0.53793,0.44771,0.44745,0.19337,1.98588,1.86365,1.66894,0.000703,0.000703,0.000703
17,6074.85,1.98717,1.889,1.57705,0.52604,0.4336,0.42067,0.17912,2.00767,1.91307,1.66553,0.0006832,0.0006832,0.0006832
18,6426.5,1.97487,1.88703,1.57226,0.56205,0.45367,0.46962,0.2098,1.9682,1.84551,1.66426,0.0006634,0.0006634,0.0006634
19,6777.8,1.97128,1.84136,1.55731,0.52619,0.4624,0.44474,0.18451,2.01597,1.88415,1.66627,0.0006436,0.0006436,0.0006436
20,7133.79,1.96988,1.82506,1.56514,0.54146,0.4408,0.42754,0.19025,1.93086,1.84247,1.6244,0.0006238,0.0006238,0.0006238
21,7488.92,1.93718,1.79035,1.54845,0.51894,0.46672,0.45175,0.19661,1.95358,1.83302,1.65242,0.000604,0.000604,0.000604
22,7844.14,1.92945,1.7927,1.54827,0.5659,0.4382,0.46522,0.202,1.95425,1.84769,1.66401,0.0005842,0.0005842,0.0005842
23,8196.68,1.9216,1.74885,1.53189,0.62292,0.46067,0.5133,0.23357,1.92474,1.7593,1.62889,0.0005644,0.0005644,0.0005644
24,8552.94,1.90618,1.7565,1.51658,0.56231,0.45895,0.46866,0.21014,1.93578,1.85802,1.60979,0.0005446,0.0005446,0.0005446
25,8908.96,1.90057,1.73351,1.53159,0.61615,0.45722,0.50238,0.22472,1.94974,1.78405,1.64558,0.0005248,0.0005248,0.0005248
26,9264.71,1.90402,1.7049,1.51108,0.60087,0.46191,0.50511,0.22313,1.92209,1.77572,1.61761,0.000505,0.000505,0.000505
27,9616.96,1.90187,1.6965,1.52608,0.59609,0.49265,0.51496,0.22977,1.9223,1.73699,1.61944,0.0004852,0.0004852,0.0004852
28,9969.93,1.88781,1.67425,1.51022,0.58826,0.47191,0.51382,0.23299,1.95657,1.74822,1.63704,0.0004654,0.0004654,0.0004654
29,10322.3,1.87664,1.67752,1.50119,0.60691,0.465,0.51184,0.23263,1.93014,1.73266,1.63232,0.0004456,0.0004456,0.0004456
30,10675.6,1.86768,1.64227,1.48813,0.6176,0.47277,0.52789,0.23641,1.93569,1.73021,1.623,0.0004258,0.0004258,0.0004258
31,11030,1.84579,1.63414,1.49211,0.5564,0.48228,0.48755,0.21903,1.94504,1.75292,1.62062,0.000406,0.000406,0.000406
