epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.371,2.36699,2.86784,1.83674,0.2701,0.2325,0.16169,0.05534,2.37732,2.83176,1.888,0.000332593,0.000332593,0.0670733
2,387.406,2.25622,2.52755,1.79607,0.21915,0.2299,0.13752,0.04854,2.40534,2.66087,2.01893,0.000665854,0.000665854,0.0340733
3,581.093,2.2309,2.43647,1.76353,0.23811,0.2325,0.15587,0.0561,2.30046,2.91637,1.95739,0.000998825,0.000998825,0.0010729
4,767.255,2.20982,2.4116,1.74905,0.38744,0.30683,0.2733,0.10232,2.24623,2.27605,1.85919,0.000999023,0.000999023,0.000999023
5,953.443,2.16318,2.29866,1.70027,0.32393,0.31201,0.23054,0.08665,2.22412,2.33787,1.82449,0.000998264,0.000998264,0.000998264
6,1139.6,2.14141,2.31059,1.70914,0.40716,0.33123,0.28876,0.10224,2.26407,2.30094,1.8581,0.000997288,0.000997288,0.000997288
7,1325.63,2.13484,2.27711,1.69461,0.37451,0.29991,0.26435,0.09936,2.15648,2.31517,1.75501,0.000996097,0.000996097,0.000996097
8,1511.8,2.11116,2.25508,1.68658,0.36955,0.33881,0.26179,0.10204,2.09846,2.22643,1.70137,0.00099469,0.00099469,0.00099469
9,1698.17,2.09394,2.21831,1.66035,0.32538,0.34475,0.22577,0.08296,2.14423,2.20836,1.76215,0.000993068,0.000993068,0.000993068
10,1884.75,2.07451,2.16644,1.67225,0.4619,0.34659,0.34581,0.13754,2.16735,2.13322,1.77841,0.000991232,0.000991232,0.000991232
11,2071.28,2.08774,2.18908,1.65448,0.43549,0.35264,0.33446,0.12594,2.15402,2.07582,1.75621,0.000989183,0.000989183,0.000989183
12,2257.84,2.06468,2.12748,1.63559,0.46025,0.39135,0.33856,0.1259,2.10392,2.17256,1.73593,0.000986922,0.000986922,0.000986922
13,2444.41,2.07262,2.14202,1.64753,0.45884,0.38116,0.36942,0.14681,2.06849,2.06866,1.68246,0.000984449,0.000984449,0.000984449
14,2630.63,2.0355,2.09633,1.61032,0.48527,0.3898,0.36598,0.12885,2.14407,2.02483,1.75734,0.000981765,0.000981765,0.000981765
15,2816.85,2.04329,2.09827,1.61212,0.46436,0.38063,0.37078,0.14551,2.09182,2.0688,1.71138,0.000978873,0.000978873,0.000978873
16,3003.31,2.0454,2.1164,1.61824,0.47075,0.38289,0.37346,0.14337,2.12931,1.99034,1.72698,0.000975773,0.000975773,0.000975773
17,3188.9,2.02548,2.07271,1.61557,0.46568,0.41314,0.3913,0.15989,2.03506,2.02626,1.66756,0.000972466,0.000972466,0.000972466
18,3373.71,2.01151,2.07758,1.5976,0.46811,0.4019,0.36182,0.1441,2.09846,1.97677,1.70144,0.000968955,0.000968955,0.000968955
